公司名稱,統編
達欣工程股份有限公司,18997007
宏普建設股份有限公司,23113054
聯上開發股份有限公司,22659295
基泰建設股份有限公司,12251662
櫻花建設股份有限公司,22491640
愛山林建設開發股份有限公司,22190686
興富發建設股份有限公司,12305479
皇昌營造股份有限公司,34342717
皇翔建設股份有限公司,86379024
根基營造股份有限公司,43876760
日勝生活科技股份有限公司,12373243
華固建設股份有限公司,23358846
潤弘精密工程事業股份有限公司,66394146
益航股份有限公司,03353007
長榮海運股份有限公司,11337775
新興航運股份有限公司,11812103
裕民航運股份有限公司,47067419
長榮國際儲運股份有限公司,04406559
嘉里大榮物流股份有限公司,51015548
陽明海運股份有限公司,04200199
中華航空股份有限公司,11145904
志信國際股份有限公司,33853232
中國航運股份有限公司,43778070
中國貨櫃運輸股份有限公司,39014517
東森國際股份有限公司,04964250
萬海航運股份有限公司,11395000
山隆通運股份有限公司,33983853
台灣航業股份有限公司,03564713
長榮航空股份有限公司,23225229
亞洲航空股份有限公司,11381701
台灣高速鐵路股份有限公司,16446274
漢翔航空工業股份有限公司,97160544
台驊國際控股股份有限公司,22358734
慧洋海運股份有限公司,54958330
台灣宅配通股份有限公司,70624227
長榮航太科技股份有限公司,16097775
星宇航空股份有限公司,51712072
萬華企業股份有限公司,15415013
華園飯店股份有限公司,75560601
國賓大飯店股份有限公司,11636802
六福開發股份有限公司,11081274
第一華僑大飯店股份有限公司,11587957
晶華國際酒店股份有限公司,04268726
遠雄悅來大飯店股份有限公司,23986016
夏都國際開發股份有限公司,89434676
開曼美食達人股份有限公司,
王品餐飲股份有限公司,54321084
雄獅旅行社股份有限公司,04655091
寒舍餐旅管理顧問股份有限公司,70471881
雲品國際酒店股份有限公司,54023418
八方雲集國際股份有限公司,70472679
世界健身股份有限公司,
彰化商業銀行股份有限公司,51811609
台中商業銀行股份有限公司,51816908
旺旺友聯產物保險股份有限公司,03110001
中華票券金融股份有限公司,12198359
台灣產物保險股份有限公司,
臺灣中小企業銀行股份有限公司,03793407
高雄銀行股份有限公司,79854797
聯邦商業銀行股份有限公司,86380802
遠東國際商業銀行股份有限公司,86517096
安泰商業銀行股份有限公司,86928561
新光產物保險股份有限公司,03458403
中央再保險股份有限公司,11081991
第一產物保險股份有限公司,03359109
統一綜合證券股份有限公司,23218183
三商美邦人壽保險股份有限公司,84443471
華南金融控股股份有限公司,70826764
富邦金融控股股份有限公司,03374805
國泰金融控股股份有限公司,70827406
凱基金融控股股份有限公司,70827383
玉山金融控股股份有限公司,70796305
元大金融控股股份有限公司,70796749
兆豐金融控股股份有限公司,70796754
台新新光金融控股股份有限公司,80328055
國票金融控股股份有限公司,80330257
永豐金融控股股份有限公司,80333183
中國信託金融控股股份有限公司,80333992
第一金融控股股份有限公司,80351999
王道商業銀行股份有限公司,70745361
欣欣大眾市場股份有限公司,
遠東百貨股份有限公司,03521905
匯僑股份有限公司,12195466
三商投資控股股份有限公司,11052709
高林實業股份有限公司,11547230
特力股份有限公司,20795246
統領百貨股份有限公司,20937863
麗嬰房股份有限公司,04377371
統一超商股份有限公司,22555003
台灣農林股份有限公司,07525207
潤泰全球股份有限公司,14053007
鼎固控股有限公司,53021200
淘帝國際控股有限公司,54381224
永邑國際集團股份有限公司,
三商家購股份有限公司,54164937
歐格電子股份有限公司,31306250
健和興端子股份有限公司,59276051
豐達科技股份有限公司,16095404
神基控股股份有限公司,22099532
晶豪科技股份有限公司,16130280
大立光電股份有限公司,22480876
華立企業股份有限公司,75514419
今皓實業股份有限公司,
晟銘電子科技股份有限公司,04777186
聯陽半導體股份有限公司,84149717
全漢企業股份有限公司,84239055
嘉晶電子股份有限公司,16130388
奇鋐科技股份有限公司,86427715
隆銘綠能科技工程股份有限公司,96924451
亞洲光學股份有限公司,55921894
鴻名企業股份有限公司,84274833
威強電工業電腦股份有限公司,97445303
信邦電子股份有限公司,23542766
憶聲電子股份有限公司,44955117
星通資訊股份有限公司,22099863
禾伸堂企業股份有限公司,20891326
盛達電業股份有限公司,33659498
增你強股份有限公司,12401698
零壹科技股份有限公司,23449190
德律科技股份有限公司,23292535
佰鴻工業股份有限公司,34452164
偉訓科技股份有限公司,69577160
威健實業股份有限公司,04648938
聯詠科技股份有限公司,84149955
智原科技股份有限公司,84149060
文曄科技股份有限公司,84498860
欣興電子股份有限公司,23535435
全台晶像股份有限公司,89261652
遠見科技股份有限公司,22050221
揚智科技股份有限公司,84149054
台灣晶技股份有限公司,21204867
科風股份有限公司,22485794
健鼎科技股份有限公司,86379707
台灣大哥大股份有限公司,97176270
建碁股份有限公司,97306457
訊舟科技股份有限公司,22164580
益登科技股份有限公司,97099302
精金科技股份有限公司,70750217
鈺德科技股份有限公司,84785413
力特光電科技股份有限公司,16439169
夆典科技開發股份有限公司,20730758
立萬利創新股份有限公司,86143822
蔚華科技股份有限公司,22729784
富華創新股份有限公司,16264908
喬鼎資訊股份有限公司,22099738
立德電子股份有限公司,38019280
華晶科技股份有限公司,28184710
銘異科技股份有限公司,30897480
建漢科技股份有限公司,16594892
日電貿股份有限公司,84116878
鴻碩精密電工股份有限公司,86318408
聯傑國際股份有限公司,84149759
